year,region,province,city,position,candidate_name,party,votes
2013,armm,maguindanao,mamasapano,"MEMBER, SANGGUNIANG BAYAN","MASUKAT, BASIT",PDP,119
2013,armm,maguindanao,mamasapano,"MEMBER, SANGGUNIANG BAYAN","BUAT, KILA",PDP,112
2013,armm,maguindanao,mamasapano,"MEMBER, SANGGUNIANG BAYAN","ABDUL, SAMSUDIN",IND,110
2013,armm,maguindanao,mamasapano,"MEMBER, SANGGUNIANG BAYAN","MAMASAPANO, JAYSON",PDP,100
2013,armm,maguindanao,mamasapano,"MEMBER, SANGGUNIANG BAYAN","ALI, ABDULATIF",IND,99
2013,armm,maguindanao,mamasapano,"MEMBER, SANGGUNIANG BAYAN","TALUSOB, KAMAD",LP,96
2013,armm,maguindanao,mamasapano,"MEMBER, SANGGUNIANG BAYAN","ABDUL, MACAPAGAL",LP,89
2013,armm,maguindanao,mamasapano,"MEMBER, SANGGUNIANG BAYAN","TATAK, BUAGAS",PDP,89
2013,armm,maguindanao,mamasapano,"MEMBER, SANGGUNIANG BAYAN","KEDA, KHALIM",LP,83
2013,armm,maguindanao,mamasapano,"MEMBER, SANGGUNIANG BAYAN","KADIL, JUNIOR",IND,76
2013,armm,maguindanao,mamasapano,"MEMBER, SANGGUNIANG BAYAN","MOHAMAD, KALIS",LP,72
2013,armm,maguindanao,mamasapano,"MEMBER, SANGGUNIANG BAYAN","KASUYO, WALES",LP,70
2013,armm,maguindanao,mamasapano,"MEMBER, SANGGUNIANG BAYAN","AMPATUAN, MOHAMADNOR",LP,67
2013,armm,maguindanao,mamasapano,"MEMBER, SANGGUNIANG BAYAN","MUDZOL, MIDZIKAIL",IND,62
2013,armm,maguindanao,mamasapano,"MEMBER, SANGGUNIANG BAYAN","MANO, NORODIN",IND,58
2013,armm,maguindanao,mamasapano,"MEMBER, SANGGUNIANG BAYAN","MANAO, GUILA",IND,57
2013,armm,maguindanao,mamasapano,"MEMBER, SANGGUNIANG BAYAN","EBRAHIM, ABDULLAH",IND,54
2013,armm,maguindanao,mamasapano,"MEMBER, SANGGUNIANG BAYAN","ABUBAKAR, ABDULMANAN",IND,37
2013,armm,maguindanao,mamasapano,"MEMBER, SANGGUNIANG BAYAN","SAILON, BASSIR",IND,34
2013,armm,maguindanao,mamasapano,"MEMBER, SANGGUNIANG BAYAN","HASIM, NASRUDIN",IND,29
2013,armm,maguindanao,mamasapano,"MEMBER, SANGGUNIANG BAYAN","AMPATUAN, PADS",IND,29
2013,armm,maguindanao,mamasapano,"MEMBER, SANGGUNIANG BAYAN","KOTEN, ANTOLING",IND,26
2013,armm,maguindanao,mamasapano,"MEMBER, SANGGUNIANG BAYAN","MAULANA, ABDULRAOF",IND,23
2013,armm,maguindanao,mamasapano,"MEMBER, SANGGUNIANG BAYAN","ABUTAZIL, MAMA",IND,20
2013,armm,maguindanao,mamasapano,"MEMBER, SANGGUNIANG BAYAN","MAMASAPANO, DADTUNGAN",IND,15
2013,armm,maguindanao,mamasapano,"MEMBER, SANGGUNIANG BAYAN","SAMBUTUAN, TAHARUDIN",IND,6
2013,armm,maguindanao,mangudadatu,MAYOR,"USOP, ESMAIL",LP,1312
2013,armm,maguindanao,mangudadatu,MAYOR,"GLANG, NASSER",PDP,2
2013,armm,maguindanao,mangudadatu,VICE-MAYOR,"MANGUDADATU, OGIE",LP,1318
2013,armm,maguindanao,mangudadatu,VICE-MAYOR,"RAJABUAYAN, TAYANDATO",PDP,3
2013,armm,maguindanao,mangudadatu,"MEMBER, SANGGUNIANG BAYAN","DILANGALEN, DATU PRINCE",LP,1196
2013,armm,maguindanao,mangudadatu,"MEMBER, SANGGUNIANG BAYAN","UTTO, SUAIB",LP,1097
2013,armm,maguindanao,mangudadatu,"MEMBER, SANGGUNIANG BAYAN","GALUKEN, FRES",LP,1040
2013,armm,maguindanao,mangudadatu,"MEMBER, SANGGUNIANG BAYAN","GANDALIBO, JUN",LP,1032
2013,armm,maguindanao,mangudadatu,"MEMBER, SANGGUNIANG BAYAN","LAGUIAOMAL, ALAMER",LP,998
2013,armm,maguindanao,mangudadatu,"MEMBER, SANGGUNIANG BAYAN","DANIEL, HAMID",LP,976
2013,armm,maguindanao,mangudadatu,"MEMBER, SANGGUNIANG BAYAN","MANGUDADATU, JACKSON",LP,954
2013,armm,maguindanao,mangudadatu,"MEMBER, SANGGUNIANG BAYAN","MAMASALANANG, KESS",LP,877
2013,armm,maguindanao,mangudadatu,"MEMBER, SANGGUNIANG BAYAN","GLANG, HALID",PDP,14
2013,armm,maguindanao,mangudadatu,"MEMBER, SANGGUNIANG BAYAN","MALIGA, HARON",PDP,13
2013,armm,maguindanao,mangudadatu,"MEMBER, SANGGUNIANG BAYAN","PASCUAL, BIGKI",PDP,5
2013,armm,maguindanao,mangudadatu,"MEMBER, SANGGUNIANG BAYAN","PANANGGILAN, MUTIN",PDP,3
2013,armm,maguindanao,mangudadatu,"MEMBER, SANGGUNIANG BAYAN","PANGILAMEN, MOJAMID",PDP,2
2013,armm,maguindanao,northern-kabuntalan,MAYOR,"BALIWAN, MUS",PDP,355
2013,armm,maguindanao,northern-kabuntalan,MAYOR,"DILANGALEN, RAMIL",LP,350
2013,armm,maguindanao,northern-kabuntalan,VICE-MAYOR,"ABPI, RAZUL JR.",LP,343
2013,armm,maguindanao,northern-kabuntalan,VICE-MAYOR,"LAUBAN, TENG",PDP,298
2013,armm,maguindanao,northern-kabuntalan,"MEMBER, SANGGUNIANG BAYAN","DILANGALEN, RACKEN",LP,437
2013,armm,maguindanao,northern-kabuntalan,"MEMBER, SANGGUNIANG BAYAN","ALOY, EBS",PDP,381
2013,armm,maguindanao,northern-kabuntalan,"MEMBER, SANGGUNIANG BAYAN","KABAGANI, MOCTHAR",LP,378
2013,armm,maguindanao,northern-kabuntalan,"MEMBER, SANGGUNIANG BAYAN","MAMALANGKAS, BLU",IND,370
2013,armm,maguindanao,northern-kabuntalan,"MEMBER, SANGGUNIANG BAYAN","BAYAM, MARY JANE",LP,366
2013,armm,maguindanao,northern-kabuntalan,"MEMBER, SANGGUNIANG BAYAN","PENDI, FAISAL",PDP,335
2013,armm,maguindanao,northern-kabuntalan,"MEMBER, SANGGUNIANG BAYAN","SAIKOL, PECOS",LP,222
2013,armm,maguindanao,northern-kabuntalan,"MEMBER, SANGGUNIANG BAYAN","MALANG, TATO",LP,210
2013,armm,maguindanao,northern-kabuntalan,"MEMBER, SANGGUNIANG BAYAN","IBRAHIM, YATS",IND,205
2013,armm,maguindanao,northern-kabuntalan,"MEMBER, SANGGUNIANG BAYAN","ABDULKADIR, JOKO",PDP,201
2013,armm,maguindanao,northern-kabuntalan,"MEMBER, SANGGUNIANG BAYAN","BAGUNDANG, MOKS",LP,171
2013,armm,maguindanao,northern-kabuntalan,"MEMBER, SANGGUNIANG BAYAN","NANDANG, JAYMAR",PDP,163
2013,armm,maguindanao,northern-kabuntalan,"MEMBER, SANGGUNIANG BAYAN","BERMUDEZ, JIMMY",PDP,120
2013,armm,maguindanao,northern-kabuntalan,"MEMBER, SANGGUNIANG BAYAN","LAUBAN, BAIBELEN",PDP,86
2013,armm,maguindanao,northern-kabuntalan,"MEMBER, SANGGUNIANG BAYAN","LABIO, MEL",LP,78
2013,armm,maguindanao,northern-kabuntalan,"MEMBER, SANGGUNIANG BAYAN","PASANDALAN, JACK",LP,58
2013,armm,maguindanao,northern-kabuntalan,"MEMBER, SANGGUNIANG BAYAN","MANGUMPIG, ALI",PDP,57
2013,armm,maguindanao,northern-kabuntalan,"MEMBER, SANGGUNIANG BAYAN","NAMLA, BAS",PDP,26
2013,armm,maguindanao,northern-kabuntalan,"MEMBER, SANGGUNIANG BAYAN","PIANG, LOT",IND,11
2013,armm,maguindanao,pagagawan,MAYOR,"MONTAWAL, DRAGON",LP,5835
2013,armm,maguindanao,pagagawan,MAYOR,"BAO, MANONTOC",PDP,2521
2013,armm,maguindanao,pagagawan,VICE-MAYOR,"MONTAWAL, BAI ANNIE",LP,4769
2013,armm,maguindanao,pagagawan,VICE-MAYOR,"MATALAM, ARKAN",PDP,3323
2013,armm,maguindanao,pagagawan,"MEMBER, SANGGUNIANG BAYAN","MONTAWAL, DANTE",LP,3691
2013,armm,maguindanao,pagagawan,"MEMBER, SANGGUNIANG BAYAN","MINDALAGAT, ROBIN",LP,3402
2013,armm,maguindanao,pagagawan,"MEMBER, SANGGUNIANG BAYAN","SIMBUANGAN, SABILA",LP,3333
2013,armm,maguindanao,pagagawan,"MEMBER, SANGGUNIANG BAYAN","PAGLAS, BAI",LP,3298
2013,armm,maguindanao,pagagawan,"MEMBER, SANGGUNIANG BAYAN","MONTAWAL, KAGE USOP",IND,3207
2013,armm,maguindanao,pagagawan,"MEMBER, SANGGUNIANG BAYAN","ABUBAKAR, ODIN",LP,2687
2013,armm,maguindanao,pagagawan,"MEMBER, SANGGUNIANG BAYAN","MINDALAGAT, DONG",PDP,2381
2013,armm,maguindanao,pagagawan,"MEMBER, SANGGUNIANG BAYAN","MONTAWAL, JEROME",IND,2360
2013,armm,maguindanao,pagagawan,"MEMBER, SANGGUNIANG BAYAN","MANGADAD, TONDO",LP,2210
2013,armm,maguindanao,pagagawan,"MEMBER, SANGGUNIANG BAYAN","ULAMA, BUTCH",LP,2125
2013,armm,maguindanao,pagagawan,"MEMBER, SANGGUNIANG BAYAN","TACUKEN, PULOT JR.",PDP,2013
2013,armm,maguindanao,pagagawan,"MEMBER, SANGGUNIANG BAYAN","MACANAS, TONY",LP,1830
2013,armm,maguindanao,pagagawan,"MEMBER, SANGGUNIANG BAYAN","ESMAEL, HUSSAIN",PDP,1758
2013,armm,maguindanao,pagagawan,"MEMBER, SANGGUNIANG BAYAN","ADIL, OMBRA",PDP,1703
2013,armm,maguindanao,pagagawan,"MEMBER, SANGGUNIANG BAYAN","ABUBACAR, BADRODIN",PDP,1549
2013,armm,maguindanao,pagagawan,"MEMBER, SANGGUNIANG BAYAN","TAYA, NORODIN",PDP,1422
2013,armm,maguindanao,pagagawan,"MEMBER, SANGGUNIANG BAYAN","UNSAY, BEN",IND,1309
2013,armm,maguindanao,pagagawan,"MEMBER, SANGGUNIANG BAYAN","BATUA, DIKAM",PDP,1056
2013,armm,maguindanao,pagagawan,"MEMBER, SANGGUNIANG BAYAN","MATALAM, COCOY",IND,1015
2013,armm,maguindanao,pagagawan,"MEMBER, SANGGUNIANG BAYAN","BELOTINDOS, TONY",PDP,887
2013,armm,maguindanao,pagalungan,MAYOR,"MATALAM, NORODIN",PDP,3747
2013,armm,maguindanao,pagalungan,MAYOR,"ANDOY, MOHAMAD",LP,63
2013,armm,maguindanao,pagalungan,VICE-MAYOR,"MAMASABULOD, SALIK",PDP,3025
2013,armm,maguindanao,pagalungan,VICE-MAYOR,"MAGLANGIT, OMAR",IND,715
2013,armm,maguindanao,pagalungan,VICE-MAYOR,"IMBAG, JINGGOY",LP,8
2013,armm,maguindanao,pagalungan,"MEMBER, SANGGUNIANG BAYAN","MATALAM, SCANDER",PDP,2778
2013,armm,maguindanao,pagalungan,"MEMBER, SANGGUNIANG BAYAN","MAMASABULOD, KHASAN",PDP,2467
2013,armm,maguindanao,pagalungan,"MEMBER, SANGGUNIANG BAYAN","ABEDIN, SIOKUN",PDP,1995
2013,armm,maguindanao,pagalungan,"MEMBER, SANGGUNIANG BAYAN","ADIL, ZANDRA BAI",PDP,1918
2013,armm,maguindanao,pagalungan,"MEMBER, SANGGUNIANG BAYAN","MONTAWAL, CHARITO",PDP,1719
2013,armm,maguindanao,pagalungan,"MEMBER, SANGGUNIANG BAYAN","MURRAY, KALLEN",IND,1686
2013,armm,maguindanao,pagalungan,"MEMBER, SANGGUNIANG BAYAN","TIMAN, GUINAID",IND,1641
2013,armm,maguindanao,pagalungan,"MEMBER, SANGGUNIANG BAYAN","MASUKAT, ABRAHAM SHAMINE",IND,1546
2013,armm,maguindanao,pagalungan,"MEMBER, SANGGUNIANG BAYAN","MAMASALAGAT, MISRIYA",IND,1302
2013,armm,maguindanao,pagalungan,"MEMBER, SANGGUNIANG BAYAN","MATALAM, ABDULRAHMAN",PDP,1035
2013,armm,maguindanao,pagalungan,"MEMBER, SANGGUNIANG BAYAN","PENDATUN, GADZI",PDP,938
2013,armm,maguindanao,pagalungan,"MEMBER, SANGGUNIANG BAYAN","MATALAM, RICKY",IND,770
2013,armm,maguindanao,pagalungan,"MEMBER, SANGGUNIANG BAYAN","ALON, ESMAEL",IND,753
2013,armm,maguindanao,pagalungan,"MEMBER, SANGGUNIANG BAYAN","MENDALANO, BASSER",IND,590
2013,armm,maguindanao,pagalungan,"MEMBER, SANGGUNIANG BAYAN","GUIAMLOD, ONDI",LP,141
2013,armm,maguindanao,pagalungan,"MEMBER, SANGGUNIANG BAYAN","ANDOY, KODJACK",LP,114
2013,armm,maguindanao,pagalungan,"MEMBER, SANGGUNIANG BAYAN","ANDOY, MUSTAPA",LP,81
2013,armm,maguindanao,pagalungan,"MEMBER, SANGGUNIANG BAYAN","HASSAN, EM",PDP,69
2013,armm,maguindanao,pagalungan,"MEMBER, SANGGUNIANG BAYAN","ESMAIL, TATO",LP,45
2013,armm,maguindanao,pagalungan,"MEMBER, SANGGUNIANG BAYAN","KADIL, BOTS",LP,30
2013,armm,maguindanao,pagalungan,"MEMBER, SANGGUNIANG BAYAN","PAGLALA, MAX",LP,22
2013,armm,maguindanao,pagalungan,"MEMBER, SANGGUNIANG BAYAN","SULOT, JEOMIR",LP,19
2013,armm,maguindanao,pagalungan,"MEMBER, SANGGUNIANG BAYAN","DUMA, ZABIDE",LP,13
2013,armm,maguindanao,parang,MAYOR,"IBAY, IBRAHIM",LP,15027
2013,armm,maguindanao,parang,MAYOR,"ABO, TALIB JR.",PDP,8612
2013,armm,maguindanao,parang,VICE-MAYOR,"AMPATUAN, SOR",LP,13556
2013,armm,maguindanao,parang,VICE-MAYOR,"BATAGA, VEN",IND,9255
2013,armm,maguindanao,parang,"MEMBER, SANGGUNIANG BAYAN","KASIM, RADZAK",LP,12009
2013,armm,maguindanao,parang,"MEMBER, SANGGUNIANG BAYAN","ITO, HADJI ESMAEL",LP,11772
2013,armm,maguindanao,parang,"MEMBER, SANGGUNIANG BAYAN","BIRUAR, IBRAHIM",LP,11493
2013,armm,maguindanao,parang,"MEMBER, SANGGUNIANG BAYAN","GANDUAN, ENGINEER",LP,11358
2013,armm,maguindanao,parang,"MEMBER, SANGGUNIANG BAYAN","DICAY, KENNEDY",LP,10958
2013,armm,maguindanao,parang,"MEMBER, SANGGUNIANG BAYAN","KALI, TUNGKO",LP,10725
2013,armm,maguindanao,parang,"MEMBER, SANGGUNIANG BAYAN","SAAVEDRA, MA.GIGI",LP,9761
2013,armm,maguindanao,parang,"MEMBER, SANGGUNIANG BAYAN","MACAPEGES, WALLED",LP,9017
2013,armm,maguindanao,parang,"MEMBER, SANGGUNIANG BAYAN","GAMPONG, ORAY",PDP,8944
2013,armm,maguindanao,parang,"MEMBER, SANGGUNIANG BAYAN","KAMID, IBRAHIM",PDP,7828
2013,armm,maguindanao,parang,"MEMBER, SANGGUNIANG BAYAN","SALASAL, SANIPA",PDP,6729
2013,armm,maguindanao,parang,"MEMBER, SANGGUNIANG BAYAN","VALIAO, VANDELION",PDP,6057
2013,armm,maguindanao,parang,"MEMBER, SANGGUNIANG BAYAN","LIDASAN, NASSER",PDP,6022
2013,armm,maguindanao,parang,"MEMBER, SANGGUNIANG BAYAN","FERNANDEZ, ISAGANI",PDP,5606
2013,armm,maguindanao,parang,"MEMBER, SANGGUNIANG BAYAN","MAROHOM, SAMSODIN",PDP,5047
2013,armm,maguindanao,parang,"MEMBER, SANGGUNIANG BAYAN","ARAGASI, BUS",IND,3188
2013,armm,maguindanao,parang,"MEMBER, SANGGUNIANG BAYAN","MACARIMBANG, AHMAD",PDP,3005
2013,armm,maguindanao,parang,"MEMBER, SANGGUNIANG BAYAN","MUSIM, TONY",IND,2722
2013,armm,maguindanao,parang,"MEMBER, SANGGUNIANG BAYAN","ORANON, NOMBAY",IND,1965
2013,armm,maguindanao,parang,"MEMBER, SANGGUNIANG BAYAN","MAROHOM, MIPUNUD",IND,1526
2013,armm,maguindanao,parang,"MEMBER, SANGGUNIANG BAYAN","AMADEO, MAMERTO JR.",IND,1336
2013,armm,maguindanao,parang,"MEMBER, SANGGUNIANG BAYAN","MALAGUIOK, JENKEE",IND,873
2013,armm,maguindanao,parang,"MEMBER, SANGGUNIANG BAYAN","PASAWIRAN, ALPAD",IND,246
2013,armm,maguindanao,shariff-aguak,MAYOR,"AMPATUAN, ZAHARA",PMP,3072
2013,armm,maguindanao,shariff-aguak,MAYOR,"SANTIAGO, KALIM",AKSYON,838
2013,armm,maguindanao,shariff-aguak,MAYOR,"AMPATUAN, SARIP",LP,784
2013,armm,maguindanao,shariff-aguak,MAYOR,"AMPATUAN, ROWELLA",IND,7
2013,armm,maguindanao,shariff-aguak,VICE-MAYOR,"AMPATUAN, MAROP",IND,2484
2013,armm,maguindanao,shariff-aguak,VICE-MAYOR,"DUMA, DIBA",LP,890
2013,armm,maguindanao,shariff-aguak,VICE-MAYOR,"DUMA, BLAH",AKSYON,496
2013,armm,maguindanao,shariff-aguak,VICE-MAYOR,"AMPATUAN, OPING",IND,82
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","AMPATUAN, ANHARA",IND,1553
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","MALANG, SAUDI",IND,1378
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","AMPATUAN, KHALID",IND,1042
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","AMPATUAN, NORMINA",IND,984
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","SULAIK, PAISAL",IND,954
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","AGUAK, AMIER AKMAD",IND,938
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","MALAGUIAL, HADIE",IND,933
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","AMPATUAN, RASUL",IND,886
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","ABDULLAH, YAHIYA",IND,885
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","ASIM, MONIR JR.",IND,865
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","AMPATUAN, BAITULON",IND,789
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","ABUTAZIL, DENNIS",IND,773
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","PENDATUN, RASID",LP,733
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","TUKUKAN, SAILILA",IND,658
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","ASIM, LAINA",IND,654
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","AMPATUAN, LIAMBAI",LP,630
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","ABUTAZIL, DATUNOT",IND,554
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","AMPATUAN, DATU REX",IND,546
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","AMPATUAN, AKMAD",IND,531
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","BIDO, KAHAL",IND,510
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","SALIK, ABDULKADIR",IND,496
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","DAWALING, ALMER",IND,468
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","ZACARIA, SURAYA",IND,411
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","AMPATUAN, DATULUNA",IND,391
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","DAWALING, KAMPOWA",LP,382
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","MAGUID, BAI AMOT",IND,370
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","ABDUL, BASIT",IND,359
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","ASIM, NORODIN",LP,332
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","SALEM, ZABIRE",LP,331
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","UMBAG, RENNYHAMSA",LP,329
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","UPAM, NASSER",LP,323
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","MAMASAPANO, LAKS",IND,316
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","LAPEDSING, ABDULBASIT",AKSYON,301
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","DUMA, KAMAD",IND,284
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","KIBO, ZALDY",AKSYON,275
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","ABDULRAHIM, ABUBAKAR",AKSYON,262
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","AMPATUAN, ZAINAL",IND,219
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","AMPATUAN, MOHAMIDIN",IND,216
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","SAKAL, H. THENG",IND,203
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","SAPTULA, ABDULBAYAN",AKSYON,202
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","LEDDA, MERIAM",LP,195
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","LUMAMBAS, MOHAMMAD",AKSYON,187
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","AMPATUAN, KUNAS",IND,174
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","ABAS, ESMAEL",IND,174
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","KALID, JIMMY",AKSYON,171
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","BAGANIAN, MOKALID",IND,168
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","AWAL, SALIK",AKSYON,138
2013,armm,maguindanao,shariff-aguak,"MEMBER, SANGGUNIANG BAYAN","ESMAEL, GEORGE",AKSYON,103
2013,armm,maguindanao,south-upi,MAYOR,"CAMPONG, BEDZ",LP,3100
2013,armm,maguindanao,south-upi,MAYOR,"OMAR, DATU BABA",PDP,2055
2013,armm,maguindanao,south-upi,MAYOR,"TRAVILLA, ELSIE",PMP,2006
2013,armm,maguindanao,south-upi,MAYOR,"SINSUAT, ISRAEL",IND,980
2013,armm,maguindanao,south-upi,MAYOR,"ESTORNINOS, MIMI",IND,947
2013,armm,maguindanao,south-upi,MAYOR,"GARCIA, UTAY",AKSYON,928
2013,armm,maguindanao,south-upi,MAYOR,"MARTIN, JUDE",IND,673
2013,armm,maguindanao,south-upi,VICE-MAYOR,"SIOSON, REMY",PMP,3245
2013,armm,maguindanao,south-upi,VICE-MAYOR,"QUINLAT, JUN",IND,1999
2013,armm,maguindanao,south-upi,VICE-MAYOR,"IBRAHIM, JO",LP,1905
2013,armm,maguindanao,south-upi,VICE-MAYOR,"USMAN, MIE",PDP,1375
2013,armm,maguindanao,south-upi,VICE-MAYOR,"LUMAO, VICTOR",IND,1164
2013,armm,maguindanao,south-upi,VICE-MAYOR,"ARISTON, INO",IND,735
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","BANSIGAN, LITO",LP,3721
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","PINUELA, WARLET",LP,3183
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","SARGAN, MARIA",IND,3070
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","ABDULRAHMAN, TENGCAMPONG",LP,3049
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","BETITA, MASTER BETITA",LP,2909
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","ERESE, LYN",LP,2811
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","YAP, BETH",LP,2563
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","MOENDEG, ROLLY",LP,2332
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","GUNSI, ABAY",IND,1796
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","PLATON, BONG",IND,1757
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","BINANGON, KAGI PIDA",LP,1713
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","SALINAS, LAURA",IND,1674
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","BATERNA, EDGAR",PDP,1658
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","KUSAIN, KADIL",IND,1593
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","DIDA, BOGS",PDP,1524
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","DATUWATA, ADELAIDA",PDP,1516
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","FELIX, VANGIE",IND,1473
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","GUNSI, LEX",PDP,1428
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","LOBERIZA, TOTO",PDP,1317
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","USMAN, BOY",PDP,1293
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","DIOCOLANO, MIKE",PDP,1205
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","LOBERIZA, RANDEL",IND,1161
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","BANGKAILAN, JAY",PDP,1135
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","TRECERO, REYMARIE",IND,1093
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","IBRAHIM, KAGE",IND,1075
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","TOLITEL, LEONARDO JR.",IND,1027
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","NIERVO, REMEGIO",IND,1014
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","LUMBOS, OMAR",IND,991
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","MOKUDEF, ELSIE",IND,988
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","FRIAS, TOTO",IND,971
2013,armm,maguindanao,south-upi,"MEMBER, SANGGUNIANG BAYAN","SALILING, RIC",IND,860
