region,province,city,district,position,candidate_name,party,votes
CORDILLERA ADMINISTRATIVE REGION,ABRA,,,GOVERNOR,"BERSAMIN, TAKIT",PFP,133176
REGION XIII,AGUSAN DEL NORTE,,,GOVERNOR,"AMANTE, ANGEL",PDPLBN,192145
REGION XIII,AGUSAN DEL SUR,,,GOVERNOR,"CANE, SANTI",NUP,222217
REGION VI,AKLAN,,,GOVERNOR,"MIRAFLORES, JO-EN",LAKAS,232694
REGION V,ALBAY,,,GOVERNOR,"ROSAL, NOEL",PDPLBN,404015
REGION VI,ANTIQUE,,,GOVERNOR,"JAVIER, PAOLO",AKSYON,147225
CORDILLERA ADMINISTRATIVE REGION,APAYAO,,,GOVERNOR,"BULUT, ELIAS JR",NPC,58175
REGION III,AURORA,,,GOVERNOR,"TOLENTINO, REYNANTE",LDP,67827
BARMM,BASILAN,,,GOVERNOR,"HATAMAN, MUJIV",BUP,121829
REGION III,BATAAN,,,GOVERNOR,"GARCIA, JOET",PFP,388011
REGION II,BATANES,,,GOVERNOR,"AGUTO, JUN",PFP,3947
REGION IV A,BATANGAS,,,GOVERNOR,"SANTOS-RECTO, VILMA",NP,655034
CORDILLERA ADMINISTRATIVE REGION,BENGUET,,,GOVERNOR,"DICLAS, MELCHOR",LAKAS,116212
REGION VIII,BILIRAN,,,GOVERNOR,"ESPINA, ROGELIO",NP,74282
REGION VII,BOHOL,,,GOVERNOR,"AUMENTADO, ARIS",PFP,563746
REGION X,BUKIDNON,,,GOVERNOR,"ROQUE, ONEIL",PFP,392204
REGION III,BULACAN,,,GOVERNOR,"FERNANDO, DANIEL",NUP,1177893
REGION II,CAGAYAN,,,GOVERNOR,"AGLIPAY, 1 CAGAYAN EGAY",NP,258470
REGION V,CAMARINES NORTE,,,GOVERNOR,"PADILLA, DONG",PFP,203987
REGION V,CAMARINES SUR,,,GOVERNOR,"VILLAFUERTE, LRAY",NUP,526887
REGION X,CAMIGUIN,,,GOVERNOR,"ROMUALDO, XJ",LAKAS,42067
REGION VI,CAPIZ,,,GOVERNOR,"CASTRO, OTO",1CAPIZ,349142
REGION V,CATANDUANES,,,GOVERNOR,"AZANZA, PATRICK ALAIN",IND,76169
REGION IV A,CAVITE,,,GOVERNOR,"REMULLA, ABENG",NUP,1058412
REGION VII,CEBU,,,GOVERNOR,"BARICUATRO, PAM",PDPLBN,1107924
REGION XII,COTABATO,,,GOVERNOR,"MENDOZA, LALA",NP,414043
REGION XI,DAVAO DE ORO,,,GOVERNOR,"MABANGLO, RAUL",IND,239933
REGION XI,DAVAO DEL NORTE,,,GOVERNOR,"JUBAHIB, KUYA EDWIN",PFP,323396
REGION XI,DAVAO DEL SUR,,,GOVERNOR,"CAGAS, YVONNE",NP,256486
REGION XI,DAVAO OCCIDENTAL,,,GOVERNOR,"BAUTISTA, COLIN",PFP,104009
REGION XI,DAVAO ORIENTAL,,,GOVERNOR,"DAYANGHIRANG, NELSON BOY",NP,219085
REGION XIII,DINAGAT ISLANDS,,,GOVERNOR,"DEMEREY, NILO JR",PFP,41679
REGION VIII,EASTERN SAMAR,,,GOVERNOR,"EVARDONE, RV",PFP,204564
REGION VI,GUIMARAS,,,GOVERNOR,"NAVA, LUCILLE",NUP,94970
CORDILLERA ADMINISTRATIVE REGION,IFUGAO,,,GOVERNOR,"DALIPOG, JERRY",LAKAS,80486
REGION I,ILOCOS NORTE,,,GOVERNOR,"MARCOS, CECILIA",NP,299037
REGION I,ILOCOS SUR,,,GOVERNOR,"SINGSON, JERRY",BILEG,328528
REGION VI,ILOILO,,,GOVERNOR,"DEFENSOR, TOTO",USWAG,811746
REGION II,ISABELA,,,GOVERNOR,"ALBANO, RODITO",PFP,651999
CORDILLERA ADMINISTRATIVE REGION,KALINGA,,,GOVERNOR,"EDDUBA, JAMES",LAKAS,75305
REGION I,LA UNION,,,GOVERNOR,"ORTEGA, MARIO EDUARDO",PFP,277097
REGION IV A,LAGUNA,,,GOVERNOR,"ARAGONES, SOL",AKAY,599119
REGION X,LANAO DEL NORTE,,,GOVERNOR,"DIMAPORO, KHALID",LAKAS,258853
BARMM,LANAO DEL SUR,,,GOVERNOR,"ADIONG, MAMINTAL JR.",LAKAS,354647
REGION VIII,LEYTE,,,GOVERNOR,"PETILLA, ICOT",NPC,661299
BARMM,MAGUINDANAO DEL NORTE,,,GOVERNOR,"MASTURA, DATU TUCAO",PFP,199049
BARMM,MAGUINDANAO DEL SUR,,,GOVERNOR,"MIDTIMBANG, ALI",PFP,176228
REGION IV B,MARINDUQUE,,,GOVERNOR,"GO, MEL GO",PDPLBN,66115
REGION V,MASBATE,,,GOVERNOR,"KHO, RICHARD",LAKAS,321100
REGION X,MISAMIS OCCIDENTAL,,,GOVERNOR,"OAMINAL, HENRY",NP,297067
REGION X,MISAMIS ORIENTAL,,,GOVERNOR,"UY, JULIETTE",NUP,327305
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,,,GOVERNOR,"LACWASAN, BONIFACIO JR",PFP,50666
NEGROS ISLAND REGION,NEGROS OCCIDENTAL,,,GOVERNOR,"LACSON, BONG",NPC,911614
NEGROS ISLAND REGION,NEGROS ORIENTAL,,,GOVERNOR,"SAGARBARRIA, CHACO",PFP,365020
REGION VIII,NORTHERN SAMAR,,,GOVERNOR,"ONGCHUAN, HARRIS ONG",NUP,212471
REGION III,NUEVA ECIJA,,,GOVERNOR,"UMALI, OYIE",SIGAW,983805
REGION II,NUEVA VIZCAYA,,,GOVERNOR,"GAMBITO, JING",PFP,151517
REGION IV B,OCCIDENTAL MINDORO,,,GOVERNOR,"GADIANO, ED",PFP,200673
